subject,block,trial,choices,choices_L,outcomes,opt_act,blocks,pe,choice_nll,alpha_pos,alpha_neg,beta,ev_l,ev_r,model
0,0,0,1,0.0,-1.0,1.0,numberbar_mixed,-1.0,0.5,0.7297201917106725,0.13793835488356734,1.5262740682972047,0.0,0.0,sim_valence
0,0,1,0,1.0,-1.0,1.0,numberbar_mixed,-1.0,0.5524393845481103,0.7297201917106725,0.13793835488356734,1.5262740682972047,0.0,-0.13793835488356734,sim_valence
0,0,2,0,1.0,-1.0,1.0,numberbar_mixed,-0.8620616451164327,0.5,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.13793835488356734,-0.13793835488356734,sim_valence
0,0,3,1,0.0,1.0,1.0,numberbar_mixed,1.1379383548835673,0.5452486970961054,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.25684972001914974,-0.13793835488356734,sim_valence
0,0,4,1,0.0,1.0,1.0,numberbar_mixed,0.3075617604030033,0.8098250187968122,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.25684972001914974,0.6924382395969967,sim_valence
0,0,5,1,0.0,1.0,1.0,numberbar_mixed,0.08312773363885184,0.8571014597341423,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.25684972001914974,0.9168722663611482,sim_valence
0,0,6,1,0.0,1.0,1.0,numberbar_mixed,0.022467747911435132,0.8680704943701381,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.25684972001914974,0.9775322520885649,sim_valence
0,0,7,1,0.0,1.0,1.0,numberbar_mixed,0.006072578598195655,0.8709099898458162,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.25684972001914974,0.9939274214018043,sim_valence
0,0,8,1,0.0,-1.0,1.0,numberbar_mixed,-1.998358704620658,0.8716684594565509,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.25684972001914974,0.9983587046206578,sim_valence
0,0,9,1,0.0,-1.0,1.0,numberbar_mixed,-1.7227083924380275,0.8168386528821746,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.25684972001914974,0.7227083924380275,sim_valence
0,0,10,0,1.0,-1.0,1.0,numberbar_mixed,-0.7431502799808503,0.24372042252640205,0.7297201917106725,0.13793835488356734,1.5262740682972047,-0.25684972001914974,0.48508083084101106,sim_valence
