subject,block,trial,choices,choices_L,outcomes,opt_act,blocks,pe,choice_nll,lr,beta,ev_l,ev_r,model
0,0,0,0,1.0,-1.0,1.0,numberbar_mixed,-1.0,0.5,0.3296417483492617,1.1791212752089602,0.0,0.0,sim_basic
0,0,1,1,0.0,1.0,1.0,numberbar_mixed,1.0,0.5959667255144866,0.3296417483492617,1.1791212752089602,-0.3296417483492617,0.0,sim_basic
0,0,2,0,1.0,-1.0,1.0,numberbar_mixed,-0.6703582516507383,0.31488586664721363,0.3296417483492617,1.1791212752089602,-0.3296417483492617,0.3296417483492617,sim_basic
0,0,3,1,0.0,1.0,1.0,numberbar_mixed,0.6703582516507383,0.7384513928154924,0.3296417483492617,1.1791212752089602,-0.5506198144437654,0.3296417483492617,sim_basic
0,0,4,1,0.0,1.0,1.0,numberbar_mixed,0.4493801855562346,0.7855815977692909,0.3296417483492617,1.1791212752089602,-0.5506198144437654,0.5506198144437654,sim_basic
0,0,5,1,0.0,1.0,1.0,numberbar_mixed,0.3012457155159618,0.8135377585646509,0.3296417483492617,1.1791212752089602,-0.5506198144437654,0.6987542844840382,sim_basic
0,0,6,0,1.0,-1.0,1.0,numberbar_mixed,-0.4493801855562346,0.1693481562461403,0.3296417483492617,1.1791212752089602,-0.5506198144437654,0.7980574488294442,sim_basic
0,0,7,0,1.0,-1.0,1.0,numberbar_mixed,-0.3012457155159618,0.14617489528162986,0.3296417483492617,1.1791212752089602,-0.6987542844840382,0.7980574488294442,sim_basic
0,0,8,1,0.0,1.0,1.0,numberbar_mixed,0.20194255117055582,0.8678421765746347,0.3296417483492617,1.1791212752089602,-0.7980574488294442,0.7980574488294442,sim_basic
0,0,9,1,0.0,-1.0,1.0,numberbar_mixed,-1.8646261444634165,0.8765876594044185,0.3296417483492617,1.1791212752089602,-0.7980574488294442,0.8646261444634165,sim_basic
0,0,10,0,1.0,1.0,1.0,numberbar_mixed,1.7980574488294443,0.22517688071122732,0.3296417483492617,1.1791212752089602,-0.7980574488294442,0.24996752218475282,sim_basic
0,0,11,1,0.0,1.0,1.0,numberbar_mixed,0.7500324778152472,0.6310830473930613,0.3296417483492617,1.1791212752089602,-0.20534264776489308,0.24996752218475282,sim_basic
0,0,12,1,0.0,-1.0,0.0,numberbar_mixed,-1.4972095394904996,0.6960152913841859,0.3296417483492617,1.1791212752089602,-0.20534264776489308,0.49720953949049973,sim_basic
0,0,13,0,1.0,1.0,0.0,numberbar_mixed,1.2053426477648932,0.438698094936798,0.3296417483492617,1.1791212752089602,-0.20534264776489308,0.0036667692476584635,sim_basic
0,0,14,0,1.0,1.0,0.0,numberbar_mixed,0.8080113899957454,0.555286585653306,0.3296417483492617,1.1791212752089602,0.1919886100042546,0.0036667692476584635,sim_basic
0,0,15,0,1.0,1.0,0.0,numberbar_mixed,0.5416571027114307,0.630908973312805,0.3296417483492617,1.1791212752089602,0.45834289728856925,0.0036667692476584635,sim_basic
0,0,16,1,0.0,-1.0,0.0,numberbar_mixed,-1.0036667692476584,0.32155088081474104,0.3296417483492617,1.1791212752089602,0.6368956916321609,0.0036667692476584635,sim_basic
0,0,17,0,1.0,1.0,0.0,numberbar_mixed,0.36310430836783913,0.7570854738018148,0.3296417483492617,1.1791212752089602,0.6368956916321609,-0.32718369932719465,sim_basic
0,0,18,1,0.0,-1.0,0.0,numberbar_mixed,-0.6728163006728054,0.21790778914449357,0.3296417483492617,1.1791212752089602,0.7565900306756848,-0.32718369932719465,sim_basic
0,0,19,0,1.0,1.0,0.0,numberbar_mixed,0.24340996932431525,0.8233798149240871,0.3296417483492617,1.1791212752089602,0.7565900306756848,-0.5489720409988608,sim_basic
0,0,20,0,1.0,1.0,0.0,numberbar_mixed,0.1631718814706078,0.8367204758925565,0.3296417483492617,1.1791212752089602,0.8368281185293922,-0.5489720409988608,sim_basic
0,0,21,0,1.0,-1.0,0.0,numberbar_mixed,-1.8906163828188018,0.8452013101289713,0.3296417483492617,1.1791212752089602,0.8906163828188018,-0.5489720409988608,sim_basic
0,0,22,1,0.0,-1.0,0.0,numberbar_mixed,-0.45102795900113923,0.27635989427172136,0.3296417483492617,1.1791212752089602,0.267390292928655,-0.5489720409988608,sim_basic
0,0,23,0,1.0,1.0,0.0,numberbar_mixed,0.732609707071345,0.7572937154105851,0.3296417483492617,1.1791212752089602,0.267390292928655,-0.6976496859583954,sim_basic
0,0,24,0,1.0,-1.0,1.0,numberbar_mixed,-1.5088890376252937,0.8057543741247603,0.3296417483492617,1.1791212752089602,0.5088890376252937,-0.6976496859583954,sim_basic
0,0,25,1,0.0,1.0,1.0,numberbar_mixed,1.6976496859583954,0.30234224525713876,0.3296417483492617,1.1791212752089602,0.01149621719745697,-0.6976496859583954,sim_basic
0,0,26,1,0.0,-1.0,1.0,numberbar_mixed,-0.8619665246055052,0.4560354226530852,0.3296417483492617,1.1791212752089602,0.01149621719745697,-0.13803347539449484,sim_basic
0,0,27,1,0.0,1.0,1.0,numberbar_mixed,1.4221736275839905,0.3748772619520856,0.3296417483492617,1.1791212752089602,0.01149621719745697,-0.42217362758399046,sim_basic
0,0,28,1,0.0,-1.0,1.0,numberbar_mixed,-1.046634173469008,0.5103564964944857,0.3296417483492617,1.1791212752089602,0.01149621719745697,0.046634173469007945,sim_basic
0,0,29,1,0.0,1.0,1.0,numberbar_mixed,1.2983801453554003,0.40965740820832747,0.3296417483492617,1.1791212752089602,0.01149621719745697,-0.29838014535540025,sim_basic
0,0,30,1,0.0,1.0,1.0,numberbar_mixed,0.8703798442184776,0.5347644291002773,0.3296417483492617,1.1791212752089602,0.01149621719745697,0.12962015578152242,sim_basic
0,0,31,0,1.0,-1.0,1.0,numberbar_mixed,-1.011496217197457,0.3828217743943241,0.3296417483492617,1.1791212752089602,0.01149621719745697,0.4165336893576594,sim_basic
