subject,block,trial,choices,choices_L,outcomes,opt_act,blocks,pe,choice_nll,alpha_opt,alpha_pes,alpha_mix,beta,model
0,0,0,0,0.0,-1.0,1.0,numberbar_mixed,-1.5,0.5,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,1,1,1.0,-1.0,1.0,numberbar_mixed,-1.5,0.6897323500611245,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,2,1,1.0,-1.0,1.0,numberbar_mixed,-0.45082783170211926,0.5,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,3,1,1.0,-1.0,1.0,numberbar_mixed,-0.13549715589148958,0.44026136755491535,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,4,1,1.0,-1.0,1.0,numberbar_mixed,-0.04072392599490948,0.4225621448524531,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,5,1,1.0,-1.0,1.0,numberbar_mixed,-0.012239652836455117,0.4172791082156577,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,6,1,1.0,-1.0,1.0,numberbar_mixed,-0.003678650766030467,0.41569492790833035,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,7,0,0.0,1.0,1.0,numberbar_mixed,1.5491721682978807,0.5847808617660835,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,8,0,0.0,1.0,1.0,numberbar_mixed,0.4656066197113362,0.7626905018188621,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,9,0,0.0,1.0,1.0,numberbar_mixed,0.13993894852707656,0.8046256028708055,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,10,0,0.0,1.0,1.0,numberbar_mixed,0.04205891515675764,0.8160764570800633,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,11,0,0.0,-1.0,1.0,numberbar_mixed,-1.987359113650757,0.8194147786408564,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,12,0,0.0,-1.0,0.0,numberbar_mixed,-0.5973045333470778,0.6115808479852243,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,13,0,0.0,-1.0,0.0,numberbar_mixed,-0.17952100508980617,0.5339104480838037,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,14,1,1.0,1.0,0.0,numberbar_mixed,1.9988943745677075,0.48994104672051536,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,15,0,0.0,-1.0,0.0,numberbar_mixed,-0.05395537697974828,0.2641852797671546,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,16,0,0.0,-1.0,0.0,numberbar_mixed,-0.016216390408300252,0.25863732247145926,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,17,1,1.0,1.0,0.0,numberbar_mixed,0.6007714777919488,0.7430152213683457,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,18,1,1.0,1.0,0.0,numberbar_mixed,0.18056300178761475,0.7992571298460792,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,19,1,1.0,1.0,0.0,numberbar_mixed,0.05426855105435746,0.8142433680571401,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,20,1,1.0,1.0,0.0,numberbar_mixed,0.016310515467634512,0.8185752254510388,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,21,1,1.0,1.0,0.0,numberbar_mixed,0.004902156214811715,0.8198617080123181,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,22,1,1.0,1.0,0.0,numberbar_mixed,0.001473352304659059,0.820246968930808,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,23,1,1.0,1.0,0.0,numberbar_mixed,0.00044281881656182964,0.8203626340091933,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,24,0,0.0,1.0,1.0,numberbar_mixed,1.9951261332494608,0.1796026139959876,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,25,1,1.0,-1.0,1.0,numberbar_mixed,-1.9998669099687283,0.6121788262909041,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,26,0,0.0,1.0,1.0,numberbar_mixed,0.5996389257500584,0.6476229219277644,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,27,0,0.0,-1.0,1.0,numberbar_mixed,-1.8197773888666087,0.7166615947721052,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,28,0,0.0,1.0,1.0,numberbar_mixed,1.453062470397815,0.48969815812167855,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,29,0,0.0,1.0,1.0,numberbar_mixed,0.43672066857144776,0.6753881003529676,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,30,1,1.0,-1.0,1.0,numberbar_mixed,-0.6010637751426796,0.2758292129980861,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,31,0,0.0,-1.0,1.0,numberbar_mixed,-1.868742778618956,0.7833606577442218,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
0,0,32,1,1.0,-1.0,1.0,numberbar_mixed,-0.18065085230817624,0.4279778382725137,0.8805558456123956,0.8445831930269941,0.6994481121985872,0.7614272815665915,sim_context
